                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.68238,                0.37058,                0.99403,                0.89148,                  0.873,                0.88184,                0.64324,                 1.1046,                0.64343,                 1.1918,               0.001486,               0.001486,               0.001486
                     88,                0.67669,                0.38726,                0.98364,                0.88368,                0.88931,                0.88571,                0.64951,                 1.0966,                0.63282,                 1.1917,               0.001387,               0.001387,               0.001387
                     89,                0.69017,                0.38511,                0.98605,                0.88054,                0.90609,                0.88333,                0.64862,                 1.0901,                0.62274,                 1.1875,               0.001288,               0.001288,               0.001288
                     90,                0.62718,                0.34111,                0.94112,                0.87313,                0.90604,                0.87888,                0.64383,                 1.0968,                0.62183,                 1.1818,               0.001189,               0.001189,               0.001189
                     91,                0.61303,                0.34122,                0.92927,                0.88782,                0.89656,                0.88719,                0.64693,                 1.1012,                0.61906,                 1.1797,                0.00109,                0.00109,                0.00109
                     92,                0.63071,                0.35032,                 0.9349,                 0.8709,                 0.9062,                0.88103,                0.64101,                 1.1047,                0.63179,                 1.1786,               0.000991,               0.000991,               0.000991
                     93,                0.60708,                0.32732,                0.94011,                0.87517,                0.90188,                0.88807,                0.64563,                 1.1114,                0.63824,                 1.1769,               0.000892,               0.000892,               0.000892
                     94,                0.60692,                0.31905,                0.93046,                0.88625,                0.88851,                0.88886,                0.64695,                 1.1077,                0.64087,                 1.1729,               0.000793,               0.000793,               0.000793
                     95,                0.60224,                0.32592,                0.94059,                0.88512,                0.88851,                0.88225,                0.64257,                 1.1099,                0.64021,                  1.175,               0.000694,               0.000694,               0.000694
                     96,                0.60458,                0.32331,                0.93174,                0.88256,                0.88851,                0.88088,                0.64397,                 1.1023,                0.64656,                 1.1678,               0.000595,               0.000595,               0.000595
                     97,                0.59731,                 0.3243,                0.93619,                0.88251,                0.88851,                0.88092,                0.64526,                 1.1023,                0.65742,                 1.1662,               0.000496,               0.000496,               0.000496
                     98,                0.58046,                0.31454,                0.91909,                0.88761,                0.89135,                 0.8852,                0.64397,                 1.1019,                0.66389,                 1.1665,               0.000397,               0.000397,               0.000397
                     99,                0.57271,                0.31373,                0.92582,                0.88868,                0.88743,                0.88651,                0.64944,                 1.1001,                0.67169,                 1.1659,               0.000298,               0.000298,               0.000298
